Title,Price,Condition,Mileage,Year,Engine Capacity
S70 DISKAUN TETiNGGI CALL DAPAT HARGA PALING MURAH,"RM 82,800",New,0 - 4999,N/A,1477cc
2025 Perodua AXIA SE MY23 D74A (A),"RM 44,000",New,0 - 4999,N/A,998cc
2007 Toyota VIOS 1.5 G FACELIFT (A),"RM 14,900",Used,190000 - 199999,N/A,1497cc
2011 Proton SAGA 1.3 FL (A),"RM 9,800",Used,130000 - 139999,2011,1332cc
2011 Proton PERSONA 1.6 ELEGANCE BASE LINE (A),"RM 10,900",Used,130000 - 139999,2011,1597cc
2022 Bmw 420i 2.0 COUPE M SPORT GRADE 5A UNREG,"RM 233,000",Recon,25000 - 29999,N/A,1998cc
2014 Proton PREVE 1.6 EXECUTIVE (A),"RM 18,800",Used,140000 - 149999,2014,1597cc
2018 Bmw X5 2.0 xDRIVE40e M SPORT BMW Wnty 2026,"RM 95,800",Used,90000 - 94999,2018,1997cc
"2019 Nissan X-TRAIL 2.0 MID (A) 7 Seater, 360 CAM","RM 67,800",Used,80000 - 84999,2019,1997cc
NEGO 2022 Porsche 911 CARRERA 4S SPORT DESIGN PACK,"RM 1,030,000",Recon,5000 - 9999,N/A,2981cc
2022 Volvo V60 2.0 RECHARGE T8 Inscription,"RM 200,888",Used,35000 - 39999,2022,1969cc
NEGO 2022 Range Rover P530 4.4 VOUGE LWB AUTOBIOGR,"RM 1,310,000",Recon,5000 - 9999,N/A,4395cc
2023 BMW IX xDRIVE40 SPORT I20 (BMW Dealer),"RM 298,000",Used,0 - 4999,N/A,1cc
2024 BMW I5 eDRIVE40 M SPORT G60 22kW (BMW Dealer),"RM 315,000",Used,5000 - 9999,N/A,1cc
2018 Perodua MYVI 1.5 H (A)NICE RIM  GOODCONDITION,"RM 38,800",Used,90000 - 94999,2018,1496cc
2011 Toyota VELLFIRE 2.4 Z (A) FULL BODYKIT,"RM 65,800",Used,150000 - 159999,2011,2362cc
2022 Honda CR-V 1.5 TC-P 2WD (A) UNDER WARRANTY,"RM 118,800",Used,30000 - 34999,2022,1498cc
2013 Toyota VIOS 1.5 E ENHANCED (A) 1 OWNER,"RM 27,800",Used,170000 - 179999,2013,1497cc
2024 Toyota HILUX 2.8 GR SPORT (A)WARRANTY TOYOTA,"RM 145,800",Used,15000 - 19999,N/A,2755cc
2021 Bmw 530i 2.0 M-SPORT (A) UNDER BMW WARRANTY,"RM 198,800",Used,60000 - 64999,2021,1998cc
2016 Honda HR-V 1.8 V (A) FULL SPEC LEATHER SEAT,"RM 46,800",Used,95000 - 99999,2016,1799cc
NEGO READY STOCK 2022 Bmw M135i XDRIVE 2.0 TURBO,"RM 245,000",Recon,10000 - 14999,N/A,1998cc
2023 Honda N BOX 660 CUSTOM L TURBO (A),"RM 119,000",Recon,10000 - 14999,N/A,658cc
"2024 Honda CIVIC 2.0 TYPE R FL5 (M) 386KM ONLY,6A","RM 299,000",Recon,0 - 4999,N/A,1996cc
2010 Mercedes Benz E250 AMG P.Roof JAPAN 1Yr Wrnty,"RM 35,800",Used,140000 - 149999,2010,1796cc
2021 Toyota HARRIER 2.0 Z (A) JBL UNREG,"RM 178,000",Recon,10000 - 14999,N/A,1986cc
"2022 Lexus NX 250, 3 LED Head Lamp, HUD, 360 Cam","RM 259,000",Recon,30000 - 34999,N/A,2487cc
2017 Peugeot 208 1.6 GTi (M) -FACELIFT-2DOOR RARE,"RM 51,800",Used,120000 - 129999,2017,1598cc
2014 Bmw 316i (CKD) 1.6 (A),"RM 34,800",Used,120000 - 129999,2014,1598cc
2016 Proton IRIZ 1.6 PREMIUM (A) SVC RECORD PROTON,"RM 18,800",Used,120000 - 129999,2016,1597cc
2022 Toyota VIOS 1.5 E (A) FACELIFT-UNDER WARRANTY,"RM 63,800",Used,40000 - 44999,2022,1496cc
S70 2025 All in Offer / Ready Stock / Gift,"RM 87,000",New,0 - 4999,N/A,1477cc
2021 Porsche MACAN FACELIFT 2.0L (A),"RM 314,000",Recon,25000 - 29999,N/A,1984cc
2025 Proton X70 Duit Raya 7k + OT 1k OFFER,"RM 116,800",New,0 - 4999,N/A,1477cc
CRAYON 2020 Porsche 911 3.0 CARRERA 4S HUGE SPEC,"RM 818,000",Recon,15000 - 19999,N/A,2981cc
"2023 Toyota ALPHARD 2.5 Z, SunRoof, 9,730Km","RM 315,000",Recon,5000 - 9999,N/A,2493cc
FULL LOAN 2021 Proton X70 PREMIUM 2WD 1.8L (A),"RM 69,999",Used,50000 - 54999,N/A,1799cc
FULL LOAN 2017 Perodua MYVI 1.3 X FACELIFT (A),"RM 32,999",Used,70000 - 74999,N/A,1298cc
2016 FULL LOAN Mercedes Benz E250 AVANTGARDE 2.0,"RM 99,999",Used,110000 - 119999,N/A,1991cc
2023 Perodua ALZA 1.5 AV (A),"RM 69,999",Used,50000 - 54999,N/A,1495cc
2021 Volkswagen TIGUAN ALLSPACE HIGHLINE 1.4L (A),"RM 106,999",Used,40000 - 44999,N/A,1395cc
2023 T.ALPHARD 2.5 MODESLISTA/SUNROOF/GRED 6Aa,"RM 343,000",Recon,5000 - 9999,N/A,2493cc
2022 Toyota VELLFIRE 2.5 ZA GOLDEN EYE (A),"RM 203,000",Recon,10000 - 14999,N/A,2494cc
2021 T.ALPHARD 2.5 S TYPE GOLD/SUNROOFs,"RM 205,000",Recon,15000 - 19999,N/A,2493cc
2018 Audi RS6 4.0 AVANT PERFORMANCE TFSI QUATTRO,"RM 418,000",Used,40000 - 44999,N/A,3993cc
2023 Toyota VELLFIRE 2.4 Z PREMIER (A),"RM 408,000",Recon,10000 - 14999,N/A,2393cc
2023 Volkswagen TIGUAN 1.4 ALLSPACE ELEGANCE MY20,"RM 123,800",Used,10000 - 14999,2023,1395cc
2023 Lamborghini URUS S 4.0 (A) UNREG 2023,"RM 1,990,000",Recon,10000 - 14999,N/A,3996cc
2002 Toyota PRADO 3.0 (A),"RM 25,000",Used,450000 - 499999,N/A,2982cc
NEGO 2020 Porsche CARRERA S 992 DISSIDENT KIT PDCC,"RM 760,000",Recon,25000 - 29999,N/A,2981cc
Y 2022 Mini COOPER S 2.0 3DOOR- 7 SP Ori Mileage,"RM 178,000",Recon,10000 - 14999,N/A,1998cc
NEGO 2020 Porsche CAYMAN T 718 2.0 PASM PDLS PLUS,"RM 420,000",Recon,40000 - 44999,N/A,1988cc
2019 Lexus NX 300 2.0 F SPORT Red Interior 360 Cam,"RM 188,000",Recon,25000 - 29999,N/A,1998cc
2021 Porsche PANAMERA 4 High Spec 4.5A Ori Mileage,"RM 568,000",Recon,15000 - 19999,N/A,2894cc
2017 Honda CIVIC 1.8 i-VTEC (A),"RM 69,800",Used,90000 - 94999,2017,1799cc
NEGO 2020 PORSCHE CAYMAN 718 2.0 Sport Design,"RM 380,000",Recon,50000 - 54999,N/A,1988cc
NEGO 2019 Porsche 718 CAYMAN PDLS+/PASM/S EXHAUST,"RM 400,000",Recon,45000 - 49999,N/A,1988cc
2021 Nissan GT-R 3.8 BLACK EDITION low Mileage,"RM 685,001",Recon,5000 - 9999,N/A,3799cc
2019 Mitsubishi TRITON 2.4 VGT ADVENTURE X (A) 4X4,"RM 84,999",Used,90000 - 94999,N/A,2442cc
2021 Toyota HARRIER 2.0 Z JBL HUD DIM BSM Ori Mile,"RM 176,000",Recon,20000 - 24999,N/A,1986cc
2019 Renault CAPTUR 1.2 TCe (A),"RM 40,000",Used,40000 - 44999,N/A,1197cc
2019 Renault CAPTUR 1.2 TCe (A),"RM 40,000",Used,35000 - 39999,N/A,1197cc
2019 Renault CAPTUR 1.2 TCe (A),"RM 40,000",Used,65000 - 69999,N/A,1197cc
2019 Mazda CX-5 2.0 G 2WD HIGH SPEC FACELIFT (A),"RM 95,800",Used,75000 - 79999,N/A,1998cc
2022 Proton X70 PREMIUM 2WD 1.8L (A),"RM 72,800",Used,30000 - 34999,N/A,1799cc
2016 Proton EXORA 1.6 SUPER PREMIUM FACELIFT (A),"RM 20,800",Used,110000 - 119999,N/A,1561cc
2012 Toyota ALPHARD 2.4 X ❤️ 5 YEAR WARRANTY,"RM 67,800",Used,95000 - 99999,2012,2362cc
2023 Perodua ALZA 1.5 AV 🌙 BEST PRICE HARI RAYA,"RM 68,800",Used,25000 - 29999,2023,1496cc
2015 Honda JAZZ 1.5 E (A),"RM 40,800",Used,110000 - 119999,N/A,1497cc
2014 Mazda CX-5 2.0 2WD HIGH SPEC (A) 3 Y Warranty,"RM 37,800",Used,80000 - 84999,N/A,1998cc
2023 Lamborghini URUS 4.0 Full ADAS 6K KM Unreg,"RM 2,080,000",Recon,5000 - 9999,N/A,3996cc
2020 Mini COOPER JCW CLUBMAN 2.0 HUD 306HP JP SPEC,"RM 199,000",Recon,20000 - 24999,N/A,1998cc
2023 Toyota HARRIER 2.0G PRECRASH DIM BSM GRADE 5A,"RM 185,000",Recon,10000 - 14999,N/A,1986cc
2025 CIVIC 1.5 E  highest rebate ready stock,"RM 125,900",New,0 - 4999,N/A,1498cc
2023 Toyota VELLFIRE 2.4 Z PREMIER BROWN INTERIOR,"RM 425,000",Recon,0 - 4999,N/A,2393cc
2021 Mercedes Benz A35 2.0 AMG 4 MATIC FULLY LOADE,"RM 238,000",Recon,30000 - 34999,N/A,1991cc
2021 Mercedes Benz CLA250 AMG 4MATIC FULLY LOADED,"RM 256,000",Recon,25000 - 29999,N/A,1991cc
2020 Mercedes Benz A35 AMG 4MATIC PREMIUM PLUS,"RM 249,000",Recon,20000 - 24999,N/A,1991cc
2010 Toyota VELLFIRE 3.5 VL ⭐️⭐️BANYAK PILIHAN⭐️⭐,"RM 62,800",Used,95000 - 99999,N/A,3456cc
2020 Mini COOPER S 2.0L (A) Hatchback 5 DOOR UNREG,"RM 145,000",Recon,45000 - 49999,N/A,1998cc
2021 Toyota ALPHARD 2.5 SC sunroof,"RM 211,700",Recon,40000 - 44999,N/A,2493cc
2021 Toyota ALPHARD 2.5 2 PB,"RM 175,700",Recon,35000 - 39999,N/A,2493cc
2020 Toyota ALPHARD 2.5 SC Sunroof,"RM 201,700",Recon,35000 - 39999,N/A,2493cc
2022 Toyota ALPHARD S 2.5   SR DIM BSM,"RM 193,700",Recon,25000 - 29999,N/A,2493cc
2020 Toyota ALPHARD 2.5 MODELISTA kit,"RM 169,700",Recon,35000 - 39999,N/A,2493cc
2021 Perodua MYVI 1.5 AV / 51K MILEAGE/FULLSERVICE,"RM 41,800",Used,50000 - 54999,2021,1496cc
2012 Mercedes Benz E250 CGI 1.8 (A) FREE WARRANTY,"RM 58,800",Used,85000 - 89999,2012,1796cc
"2024 Toyota HARRIER 2.0 G, Grade 5A, 6K Mileage","RM 215,000",Recon,5000 - 9999,N/A,1987cc
NEGO 2020 Land Rover DEFENDER P400 X DYNAMIC 110,"RM 520,000",Recon,40000 - 44999,N/A,2996cc
2014 Perodua MYVI 1.3 SE ZHS (A) FULL LOAN,"RM 18,800",Used,90000 - 94999,2014,1298cc
2018 Toyota HILUX 2.8 LE FACELIFT (A) 92K MILEAGE,"RM 87,800",Used,95000 - 99999,2018,2755cc
2015 Ford RANGER 2.2 XLT (HI RIDER) (A) LOAN KEDAI,"RM 29,980",Used,90000 - 94999,N/A,2198cc
NEGO 2020 Porsche CARRERA 911 4S PDCC/RADAR PACK,"RM 820,000",Recon,25000 - 29999,N/A,2981cc
2020 Honda CIVIC 1.8 S (A)CONVERT BODYKIT,"RM 72,800",Used,90000 - 94999,2020,1799cc
"Honda CITY 1.5 E FACELIFT(A) FULL LOAN, 30k KM+ V","RM 42,800",Used,30000 - 34999,N/A,1497cc
2005 Toyota VIOS 1.5 E (A) SMOOTH ENGINE G,"RM 12,800",Used,150000 - 159999,N/A,1497cc
"Mazda 3 2.0 SPORT HATCHBACK (A) HB , FULL LOAN","RM 21,800",Used,85000 - 89999,N/A,1999cc
Bmw 330E 2.0 B48 Full ServRec F/Bodykit 4NewTyres,"RM 68,900",Used,65000 - 69999,2019,1998cc
NEGO 2020 Range Rover VELAR P250 2.0 S R-DYNAMIC,"RM 310,000",Recon,45000 - 49999,N/A,1998cc
"2022 Toyota HARRIER Z LEATHER, Gred 5A, 5k Mileage","RM 200,000",Recon,5000 - 9999,N/A,1986cc
2023 Suzuki JIMNY 1.5 Sierra JC 5K KM GRADE 5A,"RM 149,000",Recon,5000 - 9999,N/A,1462cc
2021 Bmw 840i M SPORT 3.0 (6 UNIT) READY STOCK,"RM 358,000",Recon,10000 - 14999,N/A,2998cc
2021 Mclaren GT 4.0 V8 (No Extra Charges) Unreg,"RM 998,000",Recon,10000 - 14999,N/A,3994cc
NEGO 2021 Nissan GT-R 35 BLACK EDITION RECARO,"RM 718,000",Recon,5000 - 9999,N/A,3799cc
"2024 Toyota HARRIER 2.0 G, Harrier G, 9K Mileage","RM 199,000",Recon,5000 - 9999,N/A,1987cc
2017 Honda HR-V 1.8 E V FULL SERVICE LOW MILEAGE,"RM 46,800",Used,80000 - 84999,2017,1799cc
2020 Perodua MYVI 1.5 ADVANCE BODYKIT ANDROID RIMS,"RM 43,800",Used,60000 - 64999,2020,1496cc
2017 Proton SAGA 1.3 EXECUTIVE CVT OFFER WARRANTY,"RM 14,800",Used,70000 - 74999,2017,1332cc
2021 Toyota ALPHARD 2.5 SC (A)Promo Japan Rim 20,"RM 222,000",Recon,25000 - 29999,N/A,2493cc
2018 Honda CIVIC 1.8 S i-VTEC WARRANTY TYPE-R KIT,"RM 67,800",Used,90000 - 94999,2018,1799cc
2014 Toyota INNOVA 2.0 G 1 OWNER CONDITION TIPTOP,"RM 38,800",Used,90000 - 94999,2014,1998cc
2018 Honda JAZZ 1.5 E V SPORT RIMS REVISE CAMERA,"RM 54,800",Used,80000 - 84999,2018,1497cc
2020 MercBenz E200 AMG FACELIFTS FULLY LOADED UNRG,"RM 232,000",Recon,40000 - 44999,N/A,1496cc
2024 Toyota VELLFIRE 2.4 Z PREMIER (A) LIKE NEW 6A,"RM 426,800",Recon,0 - 4999,N/A,2393cc
2020 Toyota ALPHARD 3.5 V6 SC MODELLISTA FULL SPEC,"RM 249,000",Recon,35000 - 39999,N/A,3456cc
2020 Ferrari F8 Tributo 3.9 Turbo All Carbon 710Hp,"RM 1,580,000",Recon,0 - 4999,N/A,3902cc
PROTON S70 all variant / PM for Latest {Rebate},"RM 69,800",New,0 - 4999,N/A,1477cc
2020 Toyota HARRIER 2.0G JBL SOUNDS DIM BSM UNREG,"RM 155,000",Recon,25000 - 29999,N/A,1986cc
2025 Perodua MYVI 1.5 X MY17 FACELIFT (A),"RM 50,900",New,0 - 4999,N/A,1496cc
2025 Perodua MYVI 1.5 AV MY17 FACELIFT (A),"RM 59,900",New,0 - 4999,N/A,1496cc
2025 Perodua ATIVA AV MY21 D55L (A),"RM 72,400",New,0 - 4999,N/A,998cc
2019 Mazda CX-5 2.0 G 2WD HIGHSPEC FACELIFT/1OWNER,"RM 84,800",Used,90000 - 94999,2019,1998cc
2022 Lamborghini 4.0 Urus Pearl Capsule Mileage 9k,"RM 1,630,000",Recon,5000 - 9999,N/A,3996cc
2010 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),"RM 43,300",Used,160000 - 169999,2010,1998cc
2014 Perodua ALZA 1.5 SE ZS FACELIFT (A)77K KM,"RM 28,300",Used,70000 - 74999,2014,1495cc
2024 Perodua ATIVA 1.0 H MY21 D55L (A),"RM 66,300",New,0 - 4999,N/A,998cc
2020 Porsche 911 3.0 Carrera S Sport Exhaust 450Hp,"RM 688,000",Recon,5000 - 9999,N/A,2981cc
2007 Toyota CAMRY 2.0 G (A) Cash Only,"RM 17,200",Used,100000 - 109999,2007,1998cc
2012 Perodua MYVI 1.3 EZi (A),"RM 19,800",Used,140000 - 149999,2012,1298cc
2017 Toyota CAMRY 2.0 GX FACELIFT (A),"RM 93,800",Used,85000 - 89999,2017,1998cc
2020 Toyota ALPHARD 2.5 S TYPE GOLD (A),"RM 200,000",Recon,30000 - 34999,N/A,2493cc
2019 Toyota CAMRY 2.5 V (A),"RM 151,800",Used,110000 - 119999,2019,2494cc
2015 Toyota CAMRY 2.0 G (A),"RM 55,800",New,100000 - 109999,N/A,1998cc
2018 Mercedes Benz E200 AVANTGARDE F/SVC Mercedes,"RM 113,800",Used,90000 - 94999,N/A,1991cc
2022 Bmw X3 2.0 xDrive30e M-Sport F/SVC & Wnty BMW,"RM 235,800",Used,40000 - 44999,2022,1998cc
2014 Toyota VELLFIRE 2.4 Z GOLDEN EYES FACELIFT,"RM 89,800",Used,110000 - 119999,2014,2362cc
2016 Mini COOPER 1.5 (A) Service Record MINI 1 Own,"RM 59,800",Used,95000 - 99999,N/A,1499cc
2019 Honda CIVIC 1.5TCP F/Exhuast F/SerVRec 1Owner,"RM 83,900",Used,90000 - 94999,2019,1498cc
2021 Mercedes-Benz G63 4.0 AMG Black Mileage 8k,"RM 918,000",Recon,5000 - 9999,N/A,3982cc
2015 Mazda 3 1.6 SPORT (A) WARRANTY 3YRS T&C,"RM 22,800",Used,120000 - 129999,2015,1598cc
2019 MercBenz A250 2.0 4MATIC TURBO JAPAN UNREG,"RM 139,000",Recon,45000 - 49999,N/A,1991cc
2020 Toyota SUPRA 3.0 RZ (A) STAGE 2 FULL SPEC .,"RM 296,000",Recon,25000 - 29999,N/A,2998cc
2016 Toyota LANDCRUISER 4.6 ZX (A) FULL SPEC,"RM 228,000",Used,65000 - 69999,2016,4608cc
2011 Honda CIVIC 1.8 i-VTEC(A) 70k km !! one owner,"RM 34,800",Used,75000 - 79999,2011,1799cc
1998 Honda CIVIC 1.6 (A) SUPER CHEAPEST PRICE!100%,"RM 12,800",Used,170000 - 179999,1998,1598cc
2017 Honda HR-V 1.8 V F/S RECORD 100% FULL LOAN,"RM 48,800",Used,110000 - 119999,2017,1799cc
2012 Honda CR-V 2.0 i-VTEC FACELIFT (A) CASH,"RM 25,800",Used,140000 - 149999,2012,1997cc
2018 Honda CR-V 2.0 2WD (A) BEST DEAL,"RM 76,800",Used,100000 - 109999,N/A,1997cc
2016 Toyota VELLFIRE 2.5 Z A EDITION GOLDEN EYE,"RM 153,800",Used,60000 - 64999,N/A,2493cc
2023 Mercedes Benz E200 2.0 AVANTGARDE MY19 W213,"RM 215,800",Used,65000 - 69999,N/A,1991cc
2017 Mercedes Benz E200 2.0 AMG (A)14 K KM MIL,"RM 134,800",Used,10000 - 14999,N/A,1991cc
Bmw 318i 1.5 LUXURY F30 LCI F/LIFT M SPORT FSR80k,"RM 72,800",Used,80000 - 84999,2019,1499cc
2017 Mercedes Benz G350D 3.0 4MATIC (A),"RM 390,000",Used,85000 - 89999,N/A,2987cc
2011 Honda CITY 1.5 S GM2 I-VTEC MODULO Facelift,"RM 16,800",Used,95000 - 99999,2011,1497cc
P CAYENNE 3.0 D 958 HAMANN PBoot Burmester ImpBARU,"RM 79,800",Used,80000 - 84999,2012,2967cc
2020 Honda ACCORD 1.5 TC-P (A)HIGH SPEC PREMIUM,"RM 97,800",Used,65000 - 69999,2020,1498cc
2018 Perodua MYVI 1.5 ADVANCE (A)ORI LOW MILEAGE,"RM 39,800",Used,50000 - 54999,2018,1496cc
2013 Honda CIVIC 1.5 (HYBRID) (A)CAR GOODCONDITION,"RM 21,800",Used,95000 - 99999,2013,1497cc
2016 Bmw 320i SPORT LINE (CKD) 2.0 FACELIFT (A),"RM 68,800",Used,95000 - 99999,2016,1998cc
2021 Toyota HARRIER 2.0 Z LEATHER PKG,"RM 179,000",Recon,25000 - 29999,N/A,1986cc
